Brand,Model,Model_Description,Price,Engine_Size
BMW,X5,xDrive30d,1603510.0,
Land Rover,Defender,90 P400 X-Dynamic HSE,1607700.0,
Mercedes-AMG,GLC43 Coupé,4Matic,1608193.0,
Porsche,Macan GTS,,1617000.0,
Land Rover,Discovery,D300 S,1617900.0,
Land Rover,Discovery,P360 S,1618700.0,
Volkswagen,Touareg,V6 TDI Executive R-Line,1622800.0,
Mercedes-Benz,GLE300d,4Matic,1623789.0,
Porsche,Cayenne,Coupé nan,1627000.0,
Ineos,Grenadier,3.0TD Fieldmaster Edition,1630560.0,3.0
BMW,X5,xDrive45e xLine,1638000.0,
Land Rover,Defender,110 P400 X-Dynamic HSE,1642700.0,
Maserati,Grecale,GT,1650000.0,
BMW,X5,xDrive30d M Sport,1650510.0,
Land Rover,Range Rover Velar,D200 Dynamic HSE,1653000.0,
BMW,X5,xDrive45e M Sport,1659400.0,
Volvo,XC90,T8 Recharge AWD Plus Dark,1663000.0,
Audi,Q8,45TDI quattro,1672700.0,
Mercedes-Benz,EQC,400 4Matic AMG Line,1679000.0,
Nissan,Patrol,5.6 V8 LE 4WD,1683900.0,5.6
Land Rover,Range Rover Velar,D300 Dynamic SE,1690000.0,
Mercedes-Benz,GLE300d,4Matic AMG Line,1699589.0,
Mercedes-Benz,GLE450,4Matic,1701520.0,
BMW,X6,xDrive30d,1704269.0,
Porsche,Cayenne,S nan,1709000.0,
Audi,Q8,55TFSI quattro,1714900.0,
Jeep,Grand Cherokee,L 3.6 4x4 Summit Reserve,1724900.0,3.6
BMW,X6,xDrive40i,1730850.0,
BMW,iX,xDrive40,1735000.0,
Land Rover,Discovery,D300 R-Dynamic SE,1739900.0,
Porsche,Cayenne,Platinum Edition,1740000.0,
Land Rover,Discovery,P360 R-Dynamic SE,1740700.0,
Audi,e-tron,55 quattro,1745000.0,
BMW,X6,xDrive30d M Sport,1751269.0,
Land Rover,Defender,130 D300 X-Dynamic HSE,1754600.0,
Land Rover,Defender,130 D300 First Edition,1758600.0,
Porsche,Cayenne,Coupé Platinum Edition,1760000.0,
